#TYPE System.Management.Automation.PSCustomObject
"allowedMemberTypes","description","displayName","id","isEnabled","origin","value"
"System.Object[]","Allows?the?app?to?read?subject?rights requests?without a?signed-in?user.","Read?all subject?rights requests","ee1460f0-368b-4153-870a-4e1ca7e72c42","True","Application","SubjectRightsRequest.Read.All"
"System.Object[]","Allows?the?app?to?read?and?write subject?rights requests?without a signed in user.","Read?and?write?all subject?rights requests","8387eaa4-1a3c-41f5-b261-f888138e6041","True","Application","SubjectRightsRequest.ReadWrite.All"
"System.Object[]","Allows the app to read attack simulation and training data for an organization without a signed-in user.","Read attack simulation data of an organization","93283d0a-6322-4fa8-966b-8c121624760d","True","Application","AttackSimulation.Read.All"
"System.Object[]","Allows custom authentication extensions associated with the app to receive HTTP requests triggered by an authentication event. The request can include information about a user, client and resource service principals, and other information about the authentication.","Receive custom authentication extension HTTP requests","214e810f-fda8-4fd7-a475-29461495eb00","True","Application","CustomAuthenticationExtension.Receive.Payload"
"System.Object[]","Allows the app to read and write your organization's directory access review default policy without a signed-in user.","Read and write your organization's directory access review default policy","77c863fd-06c0-47ce-a7eb-49773e89d319","True","Application","Policy.ReadWrite.AccessReview"
"System.Object[]","Allows the app to create groups, read all group properties and memberships, update group properties and memberships, and delete groups. Also allows the app to read and write conversations. All of these operations can be performed by the app without a signed-in user.","Read and write all groups","62a82d76-70ea-41e2-9197-370581804d09","True","Application","Group.ReadWrite.All"
"System.Object[]","Allows the app to read group properties and memberships, and read?conversations for all groups, without a signed-in user.","Read all groups","5b567255-7703-4780-807c-7be8301ae99b","True","Application","Group.Read.All"
"System.Object[]","Allows the app to read your organization's threat submissions and threat submission policies without a signed-in user. Also allows the app to create new threat submissions without a signed-in user.","Read and write all of the organization's threat submissions","d72bdbf4-a59b-405c-8b04-5995895819ac","True","Application","ThreatSubmission.ReadWrite.All"
"System.Object[]","Allows an app to read Bookings appointments, businesses, customers, services, and staff without a signed-in user.  ","Read all Bookings related resources.","6e98f277-b046-4193-a4f2-6bf6a78cd491","True","Application","Bookings.Read.All"
"System.Object[]","Allows an app to read and write Bookings appointments and customers, and additionally allows reading businesses, services, and staff without a signed-in user. ","Read and write all Bookings related resources.","9769393e-5a9f-4302-9e3d-7e018ecb64a7","True","Application","BookingsAppointment.ReadWrite.All"
