#TYPE System.Management.Automation.PSCustomObject
"adminConsentDescription","adminConsentDisplayName","id","isEnabled","type","userConsentDescription","userConsentDisplayName","value"
"Allows the app to read attack simulation and training data for an organization for the signed-in user.","Read attack simulation data of an organization","104a7a4b-ca76-4677-b7e7-2f4bc482f381","True","Admin","Allows the app to read attack simulation and training data for an organization on your behalf.","Read attack simulation data of an organization","AttackSimulation.Read.All"
"Allows the app to see your users' basic profile (name, picture, user name)","View users' basic profile","14dad69e-099b-42c9-810b-d002981feec1","True","User","Allows the app to see your basic profile (e.g., name, picture, user name, email address)","View your basic profile","profile"
"Allows the app to read and write your organization's directory access review default policy on behalf of the signed-in user.","Read and write your organization's directory access review default policy","4f5bc9c8-ea54-4772-973a-9ca119cb0409","True","Admin","Allows the app to read and write your organization's directory access review default policy on your behalf.","Read and write your organization's directory access review default policy","Policy.ReadWrite.AccessReview"
"Allows the app to read your organization's threat submissions and threat submission policies on behalf of the signed-in user. Also allows the app to create new threat submissions on behalf of the signed-in user.","Read and write all threat submissions","8458e264-4eb9-4922-abe9-768d58f13c7f","True","Admin","Allows the app to read your organization's threat submissions and threat submission policies on your behalf. Also allows the app to create new threat submissions on your behalf.","Read and write all threat submissions","ThreatSubmission.ReadWrite.All"
"Allows the application to read any data from Records Management, such as configuration, labels, and policies on behalf of the signed-in user.","Read Records Management configuration,?labels, and policies","07f995eb-fc67-4522-ad66-2b8ca8ea3efd","True","Admin","Allows the application to read any data from Records Management, such as configuration, labels and policies on your behalf.","Read Records Management configuration,?labels, and policies","RecordsManagement.Read.All"
"Allow the application to create, update and delete any data from Records Management, such as configuration, labels, and policies on behalf of the signed-in user.","Read and write Records Management configuration, labels, and policies","f2833d75-a4e6-40ab-86d4-6dfe73c97605","True","Admin","Allow the application to create, update and delete any data from Records Management, such as configuration, labels, and policies on your behalf.","Read and write Records Management configuration, labels, and policies","RecordsManagement.ReadWrite.All"
"Allows the app to read details of delegated admin relationships with customers like access details (that includes roles) and the duration as well as specific role assignments to security groups on behalf of the signed-in user.","Read Delegated Admin relationships with customers","0c0064ea-477b-4130-82a5-4c2cc4ff68aa","True","Admin","Allows the app to read details of Delegated Admin relationships with customers like access details (that includes roles) and the duration as well as specific role assignments to security groups on your behalf.","Read Delegated Admin relationships with customers","DelegatedAdminRelationship.Read.All"
"Allows the app to manage (create-update-terminate) Delegated Admin relationships with customers as well as role assignments to security groups for active Delegated Admin relationships on behalf of the signed-in user.","Manage Delegated Admin relationships with customers","885f682f-a990-4bad-a642-36736a74b0c7","True","Admin","Allows the app to manage (create-update-terminate) Delegated Admin relationships with customers and role assignments to security groups for active Delegated Admin relationships on your behalf.","Manage Delegated Admin relationships with customers","DelegatedAdminRelationship.ReadWrite.All"
"Allows the app to read and write all managed tenant information on behalf of the signed-in user.","Read and write all managed tenant information","b31fa710-c9b3-4d9e-8f5e-8036eecddab9","True","Admin","Allows the app to read and write all managed tenant information on your behalf.","Read and write all managed tenant information","ManagedTenants.ReadWrite.All"
"Allows the app to read all managed tenant information on behalf of the signed-in user.","Read all managed tenant information","dc34164e-6c4a-41a0-be89-3ae2fbad7cd3","True","Admin","Allows the app to read all managed tenant information on your behalf.","Read all managed tenant information","ManagedTenants.Read.All"
"Allows the app to read and manage the Cloud PC role-based access control (RBAC) settings, on behalf of the signed-in user. This includes reading and managing Cloud PC role definitions and role assignments.","Read and write Cloud PC RBAC settings","501d06f8-07b8-4f18-b5c6-c191a4af7a82","True","Admin","Allows the app to read and manage the Cloud PC role-based access control (RBAC) settings, on your behalf. This includes reading and managing Cloud PC role definitions and memberships.","Read and write Cloud PC RBAC settings","RoleManagement.ReadWrite.CloudPC"
"Allows the app to read the Cloud PC role-based access control (RBAC) settings, on behalf of the signed-in user.? This includes reading Cloud PC role definitions and role assignments.","Read Cloud PC RBAC settings","9619b88a-8a25-48a7-9571-d23be0337a79","True","Admin","Allows the app to read the Cloud PC role-based access control (RBAC) settings, on your behalf.? This includes reading Cloud PC role definitions and role assignments.","Read Cloud PC RBAC settings","RoleManagement.Read.CloudPC"
"Allows the app to read and write settings of external connections on behalf of a signed-in user. The signed-in user must be an administrator. The app can only read and write settings of connections that it is authorized to.","Read and write external connections","4082ad95-c812-4f02-be92-780c4c4f1830","True","Admin","Allows the app to read and write external connections on your behalf. The signed-in user must be an administrator. The app can only read and write external connections that it is authorized to, or it can create new external connections. ","Read and write external connections","ExternalConnection.ReadWrite.OwnedBy"
"Allows the app to read all external connections on behalf of a signed-in user. The signed-in user must be an administrator.","Read all external connections","a38267a5-26b6-4d76-9493-935b7599116b","True","Admin","Allows the app to read all external connections on your behalf. The signed-in user must be an administrator.","Read all external connections","ExternalConnection.Read.All"
"Allows the app to read and write all external connections on behalf of a signed-in user. The signed-in user must be an administrator.","Read and write all external connections","bbbbd9b3-3566-4931-ac37-2b2180d9e334","True","Admin","Allows the app to read and write all external connections on your behalf. The signed-in user must be an administrator.","Read and write all external connections","ExternalConnection.ReadWrite.All"
"Allows the app to read and write external items on behalf of a signed-in user. The signed-in user must be an administrator. The app can only read external items of the connection that it is authorized to.","Read and write external items","4367b9d7-cee7-4995-853c-a0bdfe95c1f9","True","Admin","Allows the app to read and write external items on your behalf. The signed-in user must be an administrator. The app can only read external items of the connection that it is authorized to.","Read and write external items","ExternalItem.ReadWrite.OwnedBy"
"Allows the app to read and write all external items on behalf of a signed-in user. The signed-in user must be an administrator.","Read and write all external items","b02c54f8-eb48-4c50-a9f0-a149e5a2012f","True","Admin","Allows the app to read and write all external items on your behalf. The signed-in user must be an administrator.","Read and write all external items","ExternalItem.ReadWrite.All"
"Allows the app to read custom security attribute assignments for all principals in the tenant on behalf of a signed in user.","Read custom security attribute assignments","b46ffa80-fe3d-4822-9a1a-c200932d54d0","True","Admin","Allows the app to read custom security attribute assignments for all principals in the tenant on your behalf.","Read custom security attribute assignments","CustomSecAttributeAssignment.Read.All"
"Allows the app to read custom security attribute definitions for the tenant on behalf of a signed in user.","Read custom security attribute definitions","ce026878-a0ff-4745-a728-d4fedd086c07","True","Admin","Allows the app to read custom security attribute definitions for the tenant on your behalf.","Read custom security attribute definitions","CustomSecAttributeDefinition.Read.All"
"Allows the app to read and write your organization's cross tenant access policies on behalf of the signed-in user.","Read and write your organization's cross tenant access policies","014b43d0-6ed4-4fc6-84dc-4b6f7bae7d85","True","Admin","Allows the app to read and write your organization's cross tenant access policies on your behalf.","Read and write your organization's cross tenant access policies","Policy.ReadWrite.CrossTenantAccess"
"Allows the app to read and write tags in Teams, on behalf of the signed-in user.","Read and write tags in Teams","539dabd7-b5b6-4117-b164-d60cd15a8671","True","Admin","Allows the app to read and write tags in Teams, on your behalf.","Read and write tags in Teams","TeamworkTag.ReadWrite"
"Allows the app to read tags in Teams, on behalf of the signed-in user.","Read tags in Teams","57587d0b-8399-45be-b207-8050cec54575","True","Admin","Allows the app to read tags in Teams, on your behalf.","Read tags in Teams","TeamworkTag.Read"
"Allows the app to read and write security incidents, on behalf of the signed-in user.","Read and write to incidents","128ca929-1a19-45e6-a3b8-435ec44a36ba","True","Admin","Allows the app to read and write to all security incidents that you have access to.","Read and write to security incidents","SecurityIncident.ReadWrite.All"
"Allows the app to read security incidents, on behalf of the signed-in user.","Read incidents","b9abcc4f-94fc-4457-9141-d20ce80ec952","True","Admin","Allows the app to read all security incidents that you have access to.","Read security incidents","SecurityIncident.Read.All"
"Allows the app to read and write to all security alerts, on behalf of the signed-in user.","Read and write to all security alerts","471f2a7f-2a42-4d45-a2bf-594d0838070d","True","Admin","Allows the app to read and write all alerts that you have access to.","Read and write all alerts","SecurityAlert.ReadWrite.All"
