#TYPE System.Management.Automation.PSCustomObject
"description","displayName","id","isEnabled","value"
"Allows the app to read the Teams apps that are installed in this team, without a signed-in user. ","Read which apps are installed in this team","ba4beb29-863b-4f02-8969-37a289cd91c0","True","TeamsAppInstallation.Read.Group"
"Allows the app to manage this team's tabs, without a signed-in user.","Manage this team's tabs","717ca3a4-bc73-47f8-b613-4d43e657fa9c","True","TeamsTab.ReadWrite.Group"
"Allows the app to read this team's tabs, without a signed-in user.","Read this team's tabs","60d920d0-44e7-44f4-a811-1a172a2ea5b3","True","TeamsTab.Read.Group"
"Allows the app to delete this team's tabs, without a signed-in user.","Delete this team's tabs","cc2e79a6-9a86-45cc-91c1-41c15745287e","True","TeamsTab.Delete.Group"
"Allows the app to  create tabs in this team, without a signed-in user.","Create tabs in this team","c4d7203b-1e46-4c4a-95f9-862779aa39e1","True","TeamsTab.Create.Group"
"Allows the app to read and write this team's settings, without a signed-in user.","Read and write this team's settings","13451d84-ced2-4d45-9b0d-98688b90e5bf","True","TeamSettings.ReadWrite.Group"
"Allows the app to read this team's settings, without a signed-in user.","Read this team's settings","87909ea6-7b07-42cf-b3a0-b8bd8e7072a8","True","TeamSettings.Read.Group"
"Allows the app to read the members of this team, without a signed-in user.","Read this team's members","b8731755-de22-4604-be08-93e1e5c2d2d6","True","TeamMember.Read.Group"
"Allows the app to read the basic profile of this group's owners, without a signed-in user.","Read this group's owners","70d5316c-9b27-4057-a650-3b0fe49002ab","True","Owner.Read.Group"
"Allows the app to read the basic profile of this group's members, without a signed-in user.","Read this group's members","0a8ce3c7-89dd-46cf-b2c3-5ef0064437a8","True","Member.Read.Group"
"Allows the app to update and read the names, descriptions, and settings of this team?s channels, without a signed-in user.","Update the names, descriptions, and settings of this team?s channels","d057ad03-b27b-49f7-8219-e0d4a706da55","True","ChannelSettings.ReadWrite.Group"
"Allows the app to read this team's channel names, channel descriptions, and channel settings, without a signed-in user.","Read the names, descriptions, and settings of this team?s channels","0a7b3084-8d18-46f5-8aef-b5b829292c6f","True","ChannelSettings.Read.Group"
"Allows the app to read this team's channel's messages, without a signed-in user.","Read this team's channel messages","19103a54-c397-4bcd-be5a-ef111e0406fa","True","ChannelMessage.Read.Group"
"Allows the app to delete this team's channels, without a signed-in user.","Delete this team's channels","4432e57d-0983-4c17-881c-235c529f96dc","True","Channel.Delete.Group"
"Allows the app to create channels in this team, without a signed-in user.","Create channels in this team","65af85d7-62bb-4339-a206-7160fd427454","True","Channel.Create.Group"
